,LogisticRegressionModel,LogisticRegressionModel_SHAP,RandomForestModel,RandomForestModel_SHAP,SVMModel,SVMModel_SHAP,GradientBoostingModel,GradientBoostingModel_SHAP,XGBoostModel,XGBoostModel_SHAP,CatBoostModel,CatBoostModel_SHAP,ANOVA_F,MutualInfo,LogisticRegressionModel_rank,LogisticRegressionModel_SHAP_rank,RandomForestModel_rank,RandomForestModel_SHAP_rank,SVMModel_rank,SVMModel_SHAP_rank,GradientBoostingModel_rank,GradientBoostingModel_SHAP_rank,XGBoostModel_rank,XGBoostModel_SHAP_rank,CatBoostModel_rank,CatBoostModel_SHAP_rank,ANOVA_F_rank,MutualInfo_rank,mean_rank
V3_qrs_duration,0.07162076588198815,0.001078292950019051,0.00267140797053706,0.0,0.0,0.0,0.002486484609894593,0.0,0.0022027222,0.0,0.14398782427171083,0.0,1.0225734962286785,0.0,101.0,88.0,122.0,220.0,183.5,257.0,152.0,232.5,284.0,218.5,280.0,226.5,171.0,275.5,200.82142857142858
MAP 1sza doba,0.01622414208454868,0.0,0.0020517307547560245,0.0,0.0,0.0,0.004303091604433397,0.0,0.0029545962,0.0,0.21971273510774364,0.0,2.459614364514053,0.0,286.0,239.0,151.0,220.0,183.5,257.0,81.0,232.5,162.0,218.5,187.0,226.5,94.0,275.5,200.96428571428572
aVL_qtc_mean,0.06130301756790741,0.0,0.0019704052505735716,0.0,0.0,0.0,0.0029376792610822703,0.0,0.002229257,0.0,0.16034643778012783,0.0,0.6317263444486793,0.02433433383030592,137.0,239.0,158.0,220.0,183.5,257.0,126.0,232.5,279.0,218.5,263.0,226.5,202.0,74.0,201.14285714285714
I_hrv_sdnn,0.06046804205857296,0.0,0.0,0.0,0.0,0.00047535358539550537,0.0018750526330066038,0.0,0.0044118604,0.0,0.06523227204664736,0.0,0.033294889280769895,0.020292939714302127,140.0,239.0,305.0,220.0,183.5,114.0,198.0,232.5,20.0,218.5,319.0,226.5,314.0,87.0,201.21428571428572
aVF_hrv_sdnn,0.02338431358412463,0.0,0.0,0.0,0.0,0.000758088782256878,0.001689909566340187,0.000853201194901286,0.0024900765,0.0,0.30517271464709866,0.0,1.1108536780615237,0.0,259.0,239.0,305.0,220.0,183.5,85.0,215.0,97.0,240.0,218.5,94.0,226.5,160.0,275.5,201.28571428571428
II_r_amplitude,0.054067868930175504,0.0,0.0017982168902064572,0.0,0.0,0.0,0.001372684385079035,0.0,0.002753235,0.0,0.25152314535075065,0.0,0.4895992085077774,0.013264243499615302,159.0,239.0,171.0,220.0,183.5,257.0,234.0,232.5,197.0,218.5,148.0,226.5,219.0,115.0,201.42857142857142
III_rms,0.0061962623836978314,0.0,0.0009971512536901678,0.0,0.0,0.0,0.002654998927907924,0.0,0.0025432908,0.0,0.313518892116097,0.00013557625673271797,0.2402659846623083,0.012720020268042642,330.0,239.0,214.0,220.0,183.5,257.0,140.0,232.5,233.0,218.5,85.0,96.0,260.5,119.0,202.0
V1_hrv_sdnn,0.041834502985730264,0.0,0.00048040764429855984,0.0,0.0,0.0,0.0004191691835941539,0.0,0.003305482,0.0,0.21610327807980503,0.0,1.6063281395499285,0.02047280622848291,186.0,239.0,238.0,220.0,183.5,257.0,304.0,232.5,113.0,218.5,194.0,226.5,133.0,85.0,202.14285714285714
aVF_qtc_sd,0.08225216103752025,0.0,0.0014068124308316598,0.0,0.0,0.0,0.0012019837731898028,0.0,0.002731786,0.0,0.2528340202894283,0.0,2.017519841678417,0.0,83.0,239.0,187.0,220.0,183.5,257.0,252.0,232.5,201.0,218.5,147.0,226.5,110.0,275.5,202.32142857142858
aVL_signal_quality,0.05602465387182831,0.0018126364092148086,0.0,0.0,0.0,0.0020215117492233645,0.00016520851961895476,0.0019538007060628786,0.0,0.0,0.012147093717857327,0.0,0.4508468779354739,0.009610237727833093,150.0,65.0,305.0,220.0,183.5,22.0,320.0,67.0,342.5,218.5,345.0,226.5,227.0,142.0,202.42857142857142
aVR_p_amplitude_var,0.008800926971995297,0.0,0.0010056701937860362,0.0,0.0,0.0007121705983192032,0.0011586019541950936,0.0,0.0043147225,0.0,0.24588058569811994,0.0,0.780542806710974,0.0,319.0,239.0,213.0,220.0,183.5,90.0,257.0,232.5,23.0,218.5,155.0,226.5,186.0,275.5,202.75
V3_mean,0.03060721372486345,0.0,0.0,0.0,0.0,0.0,0.0022481262824447035,0.0,0.0024641855,0.0,0.2785801151129164,0.0,2.0961821919260406,0.017664150597401562,221.0,239.0,305.0,220.0,183.5,257.0,170.0,232.5,242.0,218.5,121.0,226.5,108.0,95.0,202.78571428571428
aVF_t_amplitude,0.06565326068196758,0.0,0.0004956745714845106,0.0,0.0,0.0,0.0012033967979115296,0.0,0.003917357,0.0,0.21562594044062028,0.0,1.4236714958608754,0.0,120.0,239.0,237.0,220.0,183.5,257.0,251.0,232.5,43.0,218.5,195.0,226.5,143.0,275.5,202.96428571428572
V4_snr_db,0.007139755347327572,0.0,0.002890884356780219,0.0,0.0,0.0007858959563993639,0.0015382995702917473,0.0,0.00395628,0.0,0.17434656597834103,0.0,0.48649918839094597,0.0,325.0,239.0,110.0,220.0,183.5,83.0,223.0,232.5,41.0,218.5,246.0,226.5,220.0,275.5,203.10714285714286
III_qrs_duration,0.026419247219511437,0.0,0.002998106143838773,0.0,0.0,0.0002785191927086101,0.002211147172053087,0.0,0.0039880406,0.0,0.09685682984945354,0.0,0.4436119846514287,0.0,246.0,239.0,107.0,220.0,183.5,145.0,171.0,232.5,40.0,218.5,309.0,226.5,230.0,275.5,203.10714285714286
II_rms,0.028458141107710354,0.0,0.0016197647984994808,0.00015984142589461732,0.0,0.0,0.0015287322756053327,0.0,0.0021525384,0.0,0.21159784699661063,0.0,0.45454546880366964,0.03373480612268609,235.5,239.0,179.0,79.0,183.5,257.0,225.0,232.5,293.0,218.5,204.0,226.5,225.5,46.0,203.14285714285714
II_shannon_entropy,0.01006953851660675,0.0,0.0033689915868436297,0.0,0.0,0.0002113330611901622,0.0030504082622491496,0.0,0.0038125345,0.0,0.21300696323046114,0.0,0.030199415729426318,0.0,311.0,239.0,93.0,220.0,183.5,157.0,120.0,232.5,51.0,218.5,200.0,226.5,317.0,275.5,203.17857142857142
II_mean,0.07835405005054985,0.0,0.002887920888098184,0.0,0.0,0.0,0.0017133011579939822,0.0,0.0021190955,0.0,0.24077569257014966,0.0,1.6508536390165083,0.0,89.0,239.0,111.0,220.0,183.5,257.0,212.0,232.5,297.0,218.5,162.0,226.5,129.0,275.5,203.75
I_hrv_rmssd,0.05869904348091854,0.0,0.0,0.0,0.0,0.000532124919906134,0.0005203213580411094,0.0,0.002335736,0.0,0.1653142971194799,0.00024462314827545167,0.12136601280718959,0.045843049475117414,145.0,239.0,305.0,220.0,183.5,106.0,297.0,232.5,265.0,218.5,256.0,88.0,287.0,17.0,204.25
V2_qrs_duration_var,0.018293606249698592,0.0,0.0008993682935381666,0.0,0.0,0.0,0.0028512933372313617,0.0008898122144640161,0.0026205424,0.0021419045799958548,0.24983456219980144,0.0,0.0017696905763978379,0.0,278.0,239.0,221.0,220.0,183.5,257.0,129.0,93.0,219.0,34.0,150.0,226.5,340.0,275.5,204.67857142857142
V6_snr_db,0.06613157156227069,0.0,0.0037595976384740613,0.0,0.0,0.0,2.8458839134381665e-05,0.0,0.0029499035,0.0,0.19109174666439874,0.0,2.3903124436764416,0.0,115.0,239.0,77.0,220.0,183.5,257.0,332.0,232.5,163.0,218.5,228.0,226.5,98.0,275.5,204.67857142857142
niewydolność krążenia_NYHA IV,0.044573372465123204,0.0010867406664359692,0.0,0.0,0.0,0.0009860471220317392,0.0,0.0,0.0,0.0,0.040265107268944465,0.0,5.236132458833441,0.02104996036011486,175.5,87.0,305.0,220.0,183.5,67.0,346.0,232.5,342.5,218.5,331.0,226.5,51.5,82.0,204.89285714285714
V6_signal_quality,0.0929506737377281,0.004292775175050784,0.0,0.0,0.0,0.0012235619883829406,0.00025902955780734456,0.0,0.0,0.0,0.06201523090646477,0.0,0.34368051407865446,0.012656320683570588,70.0,25.0,305.0,220.0,183.5,51.0,317.0,232.5,342.5,218.5,321.0,226.5,238.0,120.0,205.03571428571428
II_hrv_sdnn,0.01925297582049417,0.0,0.002698967409583598,0.0,0.0,0.0,0.0023988937224886683,0.0,0.0026913658,0.0,0.17061160585937063,0.0,0.6360127776072668,0.020689860706137653,273.0,239.0,121.0,220.0,183.5,257.0,157.0,232.5,209.0,218.5,249.0,226.5,201.0,84.0,205.07142857142858
aVL_hrv_sdnn,0.028661001813184483,0.0,0.003547196272913356,0.0,0.0,0.0,0.0005837334053538298,0.0,0.0025920314,0.0,0.2943737608670204,0.0006498412712472183,0.25988936379370675,0.0,233.0,239.0,84.0,220.0,183.5,257.0,289.0,232.5,224.0,218.5,100.0,65.0,253.0,275.5,205.28571428571428
V1_signal_quality,0.09826721135495524,0.0009429102190808311,0.0,0.0,0.0,0.00026673801955660653,0.0004450463745206251,0.0,0.0023871912,0.0,0.13010105351981746,0.0,4.667252695805161,0.0,58.0,95.0,305.0,220.0,183.5,149.0,302.0,232.5,253.0,218.5,298.0,226.5,58.0,275.5,205.32142857142858
aVR_t_amplitude,0.04628901820315691,0.0,0.0,0.0,0.0,0.0,0.006110276366823637,0.0,0.0029820427,0.0011761707852507158,0.14238492208291853,0.0,0.33813652935138316,0.0,171.0,239.0,305.0,220.0,183.5,257.0,35.0,232.5,153.0,54.0,283.0,226.5,240.0,275.5,205.35714285714286
III_zero_crossings,0.044319030638501726,0.0,0.001008134146698118,0.0,0.0,0.0,0.0011634064685515407,0.004325023389048717,0.0021116517,0.0,0.28222745210904115,0.0,0.0667803086059036,0.00887725888905666,177.0,239.0,212.0,220.0,183.5,257.0,256.0,31.0,299.0,218.5,113.0,226.5,303.0,145.0,205.75
III_mean,0.026620427044277924,0.0,0.0,0.0,0.0008602150537634579,0.0,0.006492717535475193,0.0,0.002401021,0.0,0.27002280981282645,0.0,0.004467897442539858,0.001746057752181951,243.0,239.0,305.0,220.0,7.5,257.0,28.0,232.5,250.0,218.5,130.0,226.5,337.0,189.0,205.92857142857142
aVL_hrv_rmssd,0.0009076415309285031,0.0,3.106953838235108e-05,0.0,0.0,0.0,0.002557722610131004,0.0,0.0037713472,0.0,0.2118669519453518,0.0,0.036191810115784824,0.06867917398732892,350.0,239.0,254.0,220.0,183.5,257.0,148.0,232.5,56.0,218.5,203.0,226.5,311.0,3.0,207.28571428571428
V3_snr_db,0.00836178662495368,0.0,0.0012027597683537782,0.0,0.0,0.0,0.0018452797239220818,0.0,0.0031290238,0.0,0.2183033060833961,0.0,1.6856096920907615,0.006278232430295905,320.0,239.0,199.0,220.0,183.5,257.0,200.0,232.5,136.0,218.5,189.0,226.5,128.0,156.0,207.5
I_p_amplitude,0.05247697595552865,0.0,0.0,0.0,0.0,0.0,0.0028111366643659152,0.0,0.0035657205,0.0,0.15794374666043734,0.0,2.1631849832821466,0.0,161.0,239.0,305.0,220.0,183.5,257.0,133.0,232.5,83.0,218.5,266.0,226.5,106.0,275.5,207.60714285714286
czynna choroba nowotworowa,0.05443472113055597,0.0005997780219984383,0.00012964489917333233,0.0,0.0,0.0018226667784339073,9.268432682056698e-05,0.0,0.0021768713,0.0,0.007810106363410816,0.0,5.082398798992513,0.0,157.0,109.0,247.0,220.0,183.5,26.0,327.0,232.5,288.0,218.5,346.0,226.5,53.0,275.5,207.82142857142858
III_t_amplitude,0.026069945684930932,0.0008322229911265666,0.0019413156879504536,0.0,0.0,0.0006390927254027351,0.0009341211131207381,0.0,0.002172899,0.0,0.09642047505490807,0.0,0.10058250576964699,0.02452889744492004,247.0,101.0,162.0,220.0,183.5,98.0,266.0,232.5,289.0,218.5,310.0,226.5,293.0,72.0,208.5
V4_qrs_duration,0.02348863483429589,0.0,0.0019578544021814867,0.0,0.0,0.0012064389831231111,0.0009591089013734534,0.0,0.0031542913,0.0,0.19629929203068414,0.0,0.35267701556595876,0.0,258.0,239.0,160.0,220.0,183.5,53.0,265.0,232.5,133.0,218.5,224.0,226.5,236.0,275.5,208.89285714285714
III_r_amplitude,0.07249982049325462,0.0,0.0009598769629300043,0.0,0.0,0.0,0.0003436277662900449,0.0,0.0027746437,0.0,0.22040894926168014,0.0,3.53626935451409,0.0,99.0,239.0,217.0,220.0,183.5,257.0,313.0,232.5,194.0,218.5,186.0,226.5,72.0,275.5,209.53571428571428
aVL_mean,0.01637425356389617,0.0,0.0013911810113513567,0.0,0.0,0.0,0.003884271455874562,0.0,0.0022962326,0.0,0.2652007371665795,0.0,0.48481308794835476,0.004550025499043375,284.0,239.0,189.0,220.0,183.5,257.0,91.0,232.5,269.0,218.5,135.0,226.5,221.0,172.0,209.85714285714286
aVR_signal_quality,0.12212981638287325,0.0015876235988940483,0.0,0.0,0.0,0.00042541302732899006,2.0451335517497047e-05,0.0,0.0,0.0,0.05084284575681839,0.0,3.6418484357815024,0.0,26.0,69.0,305.0,220.0,183.5,119.0,334.0,232.5,342.5,218.5,325.0,226.5,68.0,275.5,210.35714285714286
V4_heart_rate,0.028930530330372812,0.0,0.00393076223711728,0.0,0.0,0.0,0.0007202542257414669,0.0,0.0,0.0,0.12498933117325647,0.0,8.428461719878605,0.014318977468259941,232.0,239.0,72.0,220.0,183.5,257.0,279.0,232.5,342.5,218.5,301.0,226.5,32.0,110.0,210.39285714285714
V3_p_amplitude,0.10872201596195698,0.0,0.0,0.0,0.0,0.0,0.001067198484809699,0.0,0.0021094494,0.0005216703694354822,0.25657298771921017,0.0,0.6601102157174658,0.0,41.0,239.0,305.0,220.0,183.5,257.0,262.0,232.5,300.0,71.0,143.0,226.5,194.0,275.5,210.71428571428572
aVF_snr_db,0.02597432565724049,0.0,0.0,0.0,0.0,0.0,0.002441803028253621,0.0,0.003098904,0.0,0.2660575202584722,0.0,1.832561880702491,0.0,248.0,239.0,305.0,220.0,183.5,257.0,155.0,232.5,140.0,218.5,134.0,226.5,121.0,275.5,211.10714285714286
aVR_signal_complexity,0.03135855134485798,0.0,0.0034194413727768242,0.0,0.0,0.0,0.001453576434838659,0.0,0.0011905638,0.0,0.23799146276605385,0.0,0.23359228565083467,0.019244683342775293,217.0,239.0,90.0,220.0,183.5,257.0,228.0,232.5,327.0,218.5,167.0,226.5,262.0,91.0,211.35714285714286
aVR_qrs_duration,0.07165824422132679,0.0,0.0,0.0,0.0,0.0,0.0017585961121653368,0.0,0.002965666,0.0,0.2369582123329579,0.0,0.9021639407218826,0.0,100.0,239.0,305.0,220.0,183.5,257.0,209.0,232.5,159.0,218.5,168.0,226.5,179.0,275.5,212.32142857142858
V4_qtc_sd,0.0021779193546442943,0.0,0.0,0.0,0.0,0.0,0.001397018539606703,0.0,0.0038686418,0.0,0.21650261075501182,0.0005651668038439014,0.06758371999400906,0.011688195684411484,345.0,239.0,305.0,220.0,183.5,257.0,233.0,232.5,48.0,218.5,192.0,76.0,302.0,126.0,212.67857142857142
aVF_heart_rate,0.006340596551892472,0.0,0.0006347022829414554,0.0,0.0,0.0,0.0025043961646468303,0.0,0.0033361192,0.0,0.15095761191565193,0.0,6.672838382264297,0.0,329.0,239.0,230.0,220.0,183.5,257.0,150.0,232.5,107.0,218.5,272.0,226.5,39.0,275.5,212.82142857142858
V4_rms,0.005804940593445375,0.0,0.0005305589862660557,0.0,0.0,0.0008880215626343475,0.0011676598475352578,0.0,0.0034688022,0.0,0.2025988630481049,0.0003844705371533515,0.027269671749394587,0.0,335.5,239.0,234.0,220.0,183.5,73.0,254.0,232.5,95.0,218.5,215.0,85.0,319.5,275.5,212.85714285714286
V5_qrs_duration_var,0.04607362953941102,0.0,0.0010756081164229963,0.0,0.0,0.0,0.0024785108270656887,0.0,0.0034658846,0.0,0.20516073728544415,0.0,0.13969579267075627,0.0,174.0,239.0,210.0,220.0,183.5,257.0,153.0,232.5,96.0,218.5,213.0,226.5,282.0,275.5,212.89285714285714
aVF_std,0.03079598328068307,0.0,0.0,0.0,0.0,0.00031115885528957237,0.00766558470827097,0.0,0.001869271,0.0,0.2537802680182248,0.0,0.31294823670134364,0.0,218.0,239.0,305.0,220.0,183.5,138.0,21.0,232.5,313.0,218.5,146.0,226.5,245.0,275.5,212.96428571428572
III_st_slope,0.024356998608782664,0.0011117644295241536,0.0011443350310230218,0.0,0.0,0.0007839482624963825,0.0011988339091640265,0.0,0.0017400939,0.0,0.14118500916626314,0.0,1.3272716527971793,0.0,253.0,86.0,202.0,220.0,183.5,84.0,253.0,232.5,318.0,218.5,284.0,226.5,150.0,275.5,213.32142857142858
migotanie przedsionków -jakiekolwiek,0.03545795977755564,0.0,0.0,0.0,0.0,0.0012299320169406667,1.7427464773865354e-05,0.0,0.0023418472,0.0,0.020058071042823852,0.0,4.817823554997197,0.012531398589796794,203.0,239.0,305.0,220.0,183.5,49.0,335.0,232.5,262.0,218.5,338.0,226.5,57.0,121.0,213.57142857142858
V6_qrs_duration_var,0.043265767961696185,0.0,0.0006470891435862,0.0,0.0,0.0,0.00035185032789554824,0.0,0.0021196916,0.0,0.2743466806134576,0.0004973640271602225,1.4147771443345403,0.0,183.0,239.0,227.0,220.0,183.5,257.0,312.0,232.5,296.0,218.5,128.0,80.0,144.0,275.5,214.0
aVL_kurtosis,0.06523805230264645,0.00018139605075009554,0.0,0.0,0.0,0.0,0.002360951763542854,0.0,0.0023836424,0.0,0.2119901889789611,0.0,0.4385640796067219,0.0,121.0,123.0,305.0,220.0,183.5,257.0,158.0,232.5,254.0,218.5,202.0,226.5,231.0,275.5,214.82142857142858
niewydolność nerek wymagajaca dializ,0.03538960233595404,0.0,0.0,0.0,0.0,0.0,0.002312468119914384,0.0,0.003103361,0.0,0.08973274317739534,0.0,7.058902653186157,0.0,204.0,239.0,305.0,220.0,183.5,257.0,162.0,232.5,137.0,218.5,312.0,226.5,36.0,275.5,214.89285714285714
V1_r_amplitude,0.0015228217580260709,0.0,0.0008698012899875716,0.0,0.0,0.0,0.0007847306411054871,0.0,0.002119966,0.0,0.19117893685585055,0.0006239834880623971,1.0608872746679898,0.029632847399944984,347.0,239.0,225.0,220.0,183.5,257.0,275.0,232.5,295.0,218.5,227.0,67.0,166.0,57.0,214.96428571428572
V4_signal_quality,0.060446642414418925,0.0,0.0,0.0,0.0,0.00021253776379960663,8.993513319247351e-05,0.0,0.004725452,0.0,0.03759586692230928,0.0,0.018824983762001424,0.020094680372917395,141.0,239.0,305.0,220.0,183.5,156.0,328.0,232.5,10.0,218.5,332.0,226.5,331.0,88.0,215.07142857142858
II_qrs_duration_var,0.030155204398887307,0.0,0.0012565938499374085,0.0,0.0,0.0,0.0011279547605784032,0.0029468733345337727,0.0024373552,0.0,0.15621224238556086,0.0,1.1753861418994773,0.0,226.0,239.0,196.0,220.0,183.5,257.0,259.0,48.0,244.0,218.5,269.0,226.5,156.0,275.5,215.57142857142858
aVR_snr_db,0.05424388541256623,0.0,0.0006370891713749757,0.0,0.0,0.0,0.0016957352615566965,0.0,0.002584647,0.0,0.16298185628613768,0.0,0.2512744586673443,0.015204249941358494,158.0,239.0,229.0,220.0,183.5,257.0,213.0,232.5,225.0,218.5,259.0,226.5,256.0,102.0,215.64285714285714
V5_qrs_duration,0.06229140224771325,0.0,0.001186754979026341,0.0,0.0,0.0,0.0013080841187914684,0.0,0.0031653147,0.0,0.08462770637308574,0.0,0.0284264048370543,0.012126349274625081,133.0,239.0,200.0,220.0,183.5,257.0,241.0,232.5,132.0,218.5,315.0,226.5,318.0,124.0,217.14285714285714
III_p_amplitude_var,0.07317904278129331,0.0,0.0,0.0,0.0,0.0,0.0012304853739666687,0.0,0.003948461,0.0,0.147944015472302,0.0,0.009253400334839632,0.0052813151691955,98.0,239.0,305.0,220.0,183.5,257.0,247.0,232.5,42.0,218.5,273.0,226.5,335.0,165.0,217.28571428571428
I_p_amplitude_var,0.006090597150561794,0.0,9.779864946247965e-05,0.0,0.0,0.0,0.002311763104065368,0.0,0.0034266731,0.0,0.1816882532542307,0.0,0.2690865323302083,0.009994586950994977,332.0,239.0,248.0,220.0,183.5,257.0,163.0,232.5,97.0,218.5,238.0,226.5,252.0,138.0,217.5
V2_signal_quality,0.04608400419554098,0.0,9.481482632306944e-05,0.0,0.0,0.0,0.0,0.0,0.003641831,0.0,0.0025555605435532715,0.0,0.5583737844646807,0.023021641305684515,173.0,239.0,249.0,220.0,183.5,257.0,346.0,232.5,68.0,218.5,348.0,226.5,209.0,76.0,217.57142857142858
aVF_r_amplitude,0.035486360834238964,0.0,0.0023037661379513006,0.0,0.0,0.0,0.0004914809599647179,0.0,0.0035899607,0.0,0.11000627562825004,0.0,0.9570493074316804,0.0,202.0,239.0,135.0,220.0,183.5,257.0,300.0,232.5,77.0,218.5,306.0,226.5,176.0,275.5,217.75
V2_hrv_sdnn,0.04926054209168771,0.0,0.0030719218374216945,0.0,0.0,0.0,0.000495317518147686,0.0,0.0022358315,0.0,0.20439487617021737,0.0,0.0031233206841702566,0.022023103083348206,165.0,239.0,103.0,220.0,183.5,257.0,299.0,232.5,277.0,218.5,214.0,226.5,339.0,78.0,218.0
V2_qtc_mean,0.03830384155751671,0.0,0.002009511024274492,0.00019796174678738895,0.0,0.0,0.00012298742961984897,0.0,0.0026368147,0.0,0.1441972571268218,0.0,0.12940666254127106,0.003082885094906951,193.0,239.0,154.0,70.0,183.5,257.0,323.0,232.5,215.0,218.5,279.0,226.5,285.0,181.0,218.35714285714286
V5_st_slope,0.06910705908194131,0.003938033660877164,0.0,0.0,0.0,0.0,0.0005524384039586949,0.0,0.0021790487,0.0,0.2806834742823217,0.0,0.03468724257778393,0.0,108.0,29.0,305.0,220.0,183.5,257.0,293.0,232.5,287.0,218.5,116.0,226.5,312.0,275.5,218.82142857142858
aVF_signal_quality,0.11489015870637134,0.001768181376227626,0.0,0.0,0.0,0.0009922651646021657,0.00013208759409438474,0.0,0.0009709451,0.0,0.01846651694774675,0.0,0.31288035122636004,0.0,32.0,67.0,305.0,220.0,183.5,66.0,322.0,232.5,331.0,218.5,340.0,226.5,247.0,275.5,219.03571428571428
V1_snr_db,0.0055194905846406165,0.0,0.0011437827060649893,0.0,0.0,0.0,6.606219103819754e-05,0.0,0.0029742222,0.0,0.3011199644179506,0.0,0.022329430694107345,0.03560571217806996,339.0,239.0,203.0,220.0,183.5,257.0,329.0,232.5,156.0,218.5,97.0,226.5,329.0,38.0,219.14285714285714
III_signal_complexity,0.01844640982702451,0.0,0.0,0.0,0.0,0.0003990565570501089,0.0015307647175761916,0.0,0.0036253359,0.0,0.1126255551141228,0.0,1.0409534893497072,0.0,276.0,239.0,305.0,220.0,183.5,124.0,224.0,232.5,71.0,218.5,305.0,226.5,170.0,275.5,219.32142857142858
aVL_snr_db,0.014528809691175265,0.0,0.001992492306183184,0.0,0.0,0.0008812672998921368,0.00207855705806295,0.0,0.0022388187,0.0,0.19660783587648048,0.0,0.1701291888548168,0.0,295.0,239.0,155.0,220.0,183.5,75.0,182.0,232.5,276.0,218.5,222.0,226.5,273.0,275.5,219.53571428571428
III_p_duration,0.06424494496406294,0.0,0.0013773311631918466,0.0,0.0,0.0,0.0018320315395983853,0.0,0.0032382405,0.0,0.1861707835810823,0.0,0.00026025050166156213,0.0,123.0,239.0,191.0,220.0,183.5,257.0,203.0,232.5,123.0,218.5,235.0,226.5,350.0,275.5,219.82142857142858
V1_hrv_rmssd,0.06173499668741684,0.0005872845785925735,0.0,0.0,0.0,0.0,0.00201252292784504,0.0,0.0015704795,0.0,0.13412489361514898,0.0,1.9838801062341995,0.0,135.0,111.0,305.0,220.0,183.5,257.0,188.0,232.5,321.0,218.5,296.0,226.5,111.0,275.5,220.03571428571428
V5_mean,0.02146369370174797,0.0,0.0,0.0,0.0021505376344086446,0.0,0.003174499832360624,0.0,0.0028544026,0.0,0.20040103512992238,0.0,0.024086160045337313,0.0,265.0,239.0,305.0,220.0,2.5,257.0,115.0,232.5,184.0,218.5,220.0,226.5,325.0,275.5,220.39285714285714
I_signal_quality,0.05109629598749477,0.0021274690293931835,0.0,0.0,0.0,0.0013464324827666045,0.0,0.0,0.0,0.0,0.004807437076765107,0.0,0.11082194889355824,0.013061825317949527,163.0,56.0,305.0,220.0,183.5,39.0,346.0,232.5,342.5,218.5,347.0,226.5,289.0,117.0,220.39285714285714
V4_std,0.005804940593445375,0.0,0.0,0.0,0.0,0.0008175785334221982,0.006962950779933934,0.0,0.0027258007,0.0,0.1961500138907446,0.0,0.027269671749394587,0.0,335.5,239.0,305.0,220.0,183.5,79.0,25.0,232.5,202.0,218.5,225.0,226.5,319.5,275.5,220.46428571428572
aVF_mean,0.10420633153637611,0.0,0.0,0.0,0.0,0.0,0.004891880617466851,0.0,0.0021685148,0.0,0.20124819263898802,0.0,0.05538288418843437,0.0,48.0,239.0,305.0,220.0,183.5,257.0,65.0,232.5,292.0,218.5,219.0,226.5,305.0,275.5,220.46428571428572
aVL_p_amplitude_var,0.023833166834851458,0.0,0.0018979524906551947,0.0,0.0,0.0,0.0005217557461001656,0.0,0.0029044424,0.0,0.24611538570700142,0.00027801604739451736,0.012650827166142865,0.0,256.0,239.0,164.0,220.0,183.5,257.0,296.0,232.5,173.0,218.5,154.0,87.0,332.0,275.5,220.57142857142858
III_snr_db,0.030326031074952162,0.0,0.0005006681786545459,0.0,0.0,0.0,0.0012258422081707595,0.0,0.001743873,0.0,0.16682942332144143,0.0,0.8922076668880126,0.03154453057095963,224.0,239.0,236.0,220.0,183.5,257.0,249.0,232.5,317.0,218.5,253.0,226.5,180.0,52.0,220.57142857142858
"argipresyna/empesin TAK=1, NIE=0 (TISS nr 1 godz. 0.00)",0.054965803011335815,0.0010610992524962876,0.0,0.0,0.0,0.0010677974045850659,0.0,0.0,0.0,0.0,0.029405037810873544,0.0,2.2101419309363926,0.0,156.0,90.0,305.0,220.0,183.5,61.0,346.0,232.5,342.5,218.5,336.0,226.5,104.0,275.5,221.21428571428572
III_qtc_sd,0.018208708695121242,0.0,0.001101941589092037,0.0,0.0,0.0,0.002583945367787972,0.0007895019228954832,0.0021933953,0.0,0.13563372235928906,0.0,0.0012710251942781585,0.01748450007691904,279.0,239.0,208.0,220.0,183.5,257.0,146.0,103.0,286.0,218.5,294.0,226.5,344.0,97.0,221.53571428571428
V6_t_amplitude,0.0031694477318546066,0.0,0.0032713347239676314,0.0,0.0,0.0,0.0006688785426956302,0.0,0.0022640107,0.0,0.20886509591794264,0.0,3.7101092612163775,0.0,344.0,239.0,97.0,220.0,183.5,257.0,282.0,232.5,273.0,218.5,207.0,226.5,64.0,275.5,222.82142857142858
V4_zero_crossings,0.021318705491924148,0.0,0.0002613030682744557,0.0,0.0,0.00029572854737113603,0.002017691650052748,0.0,0.0031876226,0.0,0.1344622533525149,0.0,0.19715051096652328,0.0,267.0,239.0,243.0,220.0,183.5,143.0,186.0,232.5,129.0,218.5,295.0,226.5,266.0,275.5,223.17857142857142
V6_mean,0.014049497034058866,0.0,0.001885451723421196,0.0,0.0,0.0,0.0044364429319674065,0.0,0.0019804705,0.0,0.1392770487984383,0.0,0.053124679304512264,0.014477474933081602,296.0,239.0,166.0,220.0,183.5,257.0,75.0,232.5,309.0,218.5,289.0,226.5,307.0,107.0,223.28571428571428
V6_hrv_rmssd,0.0006467534193632453,0.0,0.0013446550020819886,0.00017925433203694154,0.0,0.0005802997201272381,0.0019562527592412392,0.0,0.0024334907,0.0,0.0844700759729678,0.0,0.16832977854040254,0.0,352.0,239.0,193.0,76.0,183.5,102.0,194.0,232.5,245.0,218.5,316.0,226.5,275.0,275.5,223.46428571428572
